 	1	2	3	4	5	6	7	8	9	10
A	731877.89	777881.21	608599.23	823429.36	787472.46	857752.71	654635.42	799828.01	747299.64	967266.52
B	864134.51	1023126.22	1074822.24	1204641.58	1255479.4	1421135.26	1025294.45	1008497.43	863904.42	762843.31
C	4950921.89	6295849.64	7702127.26	11512510.06	11836201.2	22585589.83	3610352.97	5702644.48	6014969.18	1077349.53
D	4438850.03	6824326.25	8922118.53	12195405.55	4197499.38	7526018.68	2953012.41	6701969.25	11202169.88	1338381.79
E	6000829.58	6264268.53	6287622.68	7819959.12	5471931.63	6277516.07	2503901.3	17569523.78	5339861.27	1078152.26
F	6677514.69	8207971.25	7623775.04	9764700.07	6570737.1	2095251.31	2602229.04	7471203.83	4907458.9	1241907.66
G	2841243.04	2881286.81	4165509.59	3076165.11	6925059.68	2103346.6	3223477.28	2439635.73	2298890.73	1501006.05
H	2160694.86	2406089.09	2856439.69	2210166.17	5092943.87	3217614.85	2464475.82	3621066.49	2932325.75	1719243.68
I	2826466.75	2638158.75	5675955.1	2450874.66	3719819.7	1675046.28	2868067.08	3427104.49	2510600.56	1513557.86
J	2482243.03	2439296.83	5192832.28	2227977.13	6120397.88	1733815.45	2844180.03	6231741.32	3326405.95	1856830.53
K	2614555.73	2310541.79	2421132.43	1844958.21	4590556.85	2772027.89	3382658.16	3438800.82	3407207.59	1272705.99
L	2538962.92	2320604.13	1990316.2	1976719.32	2143161.01	5763712.36	2301535.41	2310732.21	2400414.08	1373177.06
M	2229603.53	2014317.14	2240953.71	2370775.47	2994788.62	3732464.07	2429074.01	2080499.83	3090275.44	1192986.65
N	1837409.98	1706221.6	1703372.02	2006664.99	2138499.29	4367987.15	2359859.92	2071892.22	2160898.11	1189101.5
O	2008578.61	1918020.67	1772600.62	1840996.39	2211875.01	2686752.18	1927603.36	1620440.97	2084266.78	1344114.51
P	1743996.07	1785636.47	1919300.24	1762386.71	2592980.1	2711333.5	2578224.85	2347375.85	2590309.13	1421908.1
Q	2157454.91	1827068.6	1794434.22	1713988.13	2067160.31	2285825.79	3102742.0	1503807.99	2530272.39	1266577.91
R	2222493.62	2490638.8	1956864.42	1895256.52	2627405.5	1955587.51	3000794.25	1678296.14	2833105.06	1380972.43
S	4053001.86	4452797.75	5372192.44	3861548.75	4553036.92	4408295.39	2934525.97	2425412.74	4651663.02	1539166.91
T	5444625.92	5201296.79	5902886.91	4689674.08	4161498.96	4224566.39	3900550.94	3165342.68	4634243.46	1749063.36
U	4402949.29	3701189.98	3739114.06	3919325.38	3923233.3	3932222.65	5531764.57	4004897.43	4926264.36	1424336.83
V	2575985.09	2901211.91	2286211.42	2590886.78	3379501.04	2506503.98	3432129.26	3113507.81	3444006.94	1551341.16
W	3981387.81	3446900.63	4440619.66	3626370.45	7100712.03	2459373.98	3205730.96	3732356.36	3470274.82	1839793.37
X	3436132.24	8628208.41	6796076.07	5517564.02	5246728.25	2467642.28	3358171.84	4035885.7	4532074.16	2122818.27
