 	1	2	3	4	5	6	7	8	9
A	12459915.55	20571035.14	9838766.51	19487663.81	14197723.16	10939197.5	11897189.21	9424037.66	15074588.94
B	8482422.52	10703060.23	7937540.44	9959346.69	7650372.1	8062523.75	13607038.96	9776412.26	15150922.06
C	10988864.08	11280150.32	6658811.83	26128011.78	11652960.87	7789638.97	19444491.44	5934559.24	11849075.13
D	10314322.3	11904670.81	7954496.19	41354640.22	10729331.12	5311266.96	22340785.06	8120194.64	15725034.8
E	15396543.6	16259034.94	7741567.65	21913177.35	20198842.53	17421870.98	15152802.05	9723613.97	16133177.27
F	12849645.4	15737425.65	11539301.61	12815197.02	30909889.11	16951856.18	15228142.37	10022221.48	16987843.62
G	36385891.75	37525652.88	240032152.33	29340810.82	35789083.43	19404071.32	18323390.95	93213979.62	25144412.97
H	26923135.09	28151008.01	20054002.5	17856667.83	40939586.79	25184050.63	32809928.26	18764405.98	23900147.12
I	17743383.98	18297628.83	9625152.22	27972883.44	29763453.56	10423108.3	16455044.39	10203840.73	17552723.3
J	16452317.67	14776236.82	7673003.09	11030701.04	9714214.31	6397298.15	9424511.45	7325643.98	16303447.81
K	12771746.39	13068179.45	6980054.43	12482853.78	11697958.58	6486302.75	10031630.92	6923046.03	13675665.23
L	14961260.29	11469760.61	5789941.24	11496320.63	8710393.67	5512727.7	18147333.94	6232776.75	11334823.39
M	11620496.66	11828852.6	6298167.8	9654059.09	12879450.68	13194350.39	8871020.65	5595711.86	12583360.2
N	9987142.63	10596242.94	5069668.46	6482411.39	12490192.57	13402894.54	12526228.95	5939033.54	13866267.6
O	9141907.62	9040218.0	4854047.45	5357479.95	6709892.97	10489420.11	10495656.73	5392653.16	12417850.38
P	11852924.35	11457535.05	5385151.01	8052172.99	13496376.56	16796374.04	15841148.19	6457755.75	12926962.97
Q	11337463.76	13417856.4	8208860.88	20853618.54	17947742.64	12542142.75	19786063.28	7267145.04	13217371.81
R	15979568.92	21936143.42	11613291.66	65303752.85	27429367.57	26849684.79	52506634.27	10606266.44	18927597.53
S	18173388.74	15822445.77	11695110.27	20268263.84	14601798.87	15727557.33	16478055.76	13464636.34	20530630.14
T	15608281.11	14647989.59	10345827.72	28641407.32	16952384.8	11196762.36	18452783.7	9769948.84	13924220.27
U	17282163.93	13464111.79	7923249.3	19869345.79	16754871.07	9394252.12	12501503.49	13438237.54	18382348.74
V	11679142.55	30353068.31	7579558.4	14751682.73	26800471.26	72036746.33	19788554.54	25097831.48	16804175.17
