,a,ai,ao,an,ang,eh,e,ei,en,eng,erh,o,ou,i,ia,iao,ieh,ien,iu,iung,iang,in,ing,ih,u,ua,uo,ui,un,uei,uai,uan,uang,ung,ü,üeh,üan,ün
ø,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
p,1,1,1,1,1,,,1,1,1,,1,,1,,1,1,1,,,,1,1,,1,,,,,,,,,,,,,
p',1,1,1,1,1,,,1,1,1,,1,1,1,,1,1,1,,,,1,1,,1,,,,,,,,,,,,,
m,1,1,1,1,1,,1,1,1,1,,1,1,1,,1,1,1,1,,,1,1,,1,,,,,,,,,,,,,
f,1,,,1,1,,,1,1,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,
t,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,,,1,,1,,,1,1,,,1,,1,,,,
t',1,1,1,1,1,,1,1,,1,,1,1,1,,1,1,1,,,,,1,,1,,,1,1,,,1,,1,,,,
n,1,1,1,1,1,,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,,1,,,,1,,,1,,1,1,1,,
l,1,1,1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,,1,1,1,,1,,1,,1,,,1,,1,1,1,1,
k,1,1,1,1,1,,,1,1,1,,1,1,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,,,
k',1,1,1,1,1,,,,1,1,,1,1,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,,,
h,1,1,1,1,1,,,1,1,1,,1,1,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,,,,
ch,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1
ch',1,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
hs,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,1
sh,1,1,1,1,1,,1,1,1,1,,,1,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,,,,
j,,,1,1,1,,1,,1,1,,1,1,,,,,,,,,,,1,1,1,,1,1,,,1,,1,,,,
ts,1,1,1,1,1,,1,1,1,1,,1,1,,,,,,,,,,,,1,,,1,1,,,1,,1,,,,
ts',1,1,1,1,1,,1,,1,1,,1,1,,,,,,,,,,,,1,,,1,1,,,1,,1,,,,
s,1,1,1,1,1,,1,,1,1,,1,1,,,,,,,,,,,,1,,,1,1,,,1,,1,,,,
tz,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tz',,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ss,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
sz,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
w,1,1,,1,1,,,1,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
y,1,1,1,,1,1,,,1,,,,,1,,,,,,,,1,1,,1,,,,,,,,,1,1,1,1,1
