 	1	2	3	4	5	6	7	8	9	10	11	12
A	9400168.21	8863621.34	8617675.94	7027045.16	9074829.67	5345903.51	7969063.37	9695805.88	7177065.00	12562560.87	7268155.11	7723254.23
B	7870997.71	10691619.26	6914030.02	6874460.32	8215667.78	6616922.68	8355427.59	12170920.74	8394108.43	12314898.08	7302506.02	8192357.24
C	17470022.85	41716125.05	28638685.63	12710903.51	10418303.52	9038877.45	21059743.41	22065831.55	12833785.76	13085793.96	7902773.81	7941289.76
D	14465765.95	49959497.25	507210535.58	44169941.27	14080971.65	11988784.70	7807436.09	8745883.88	11487056.67	15154967.64	9325092.97	8566944.96
E	8179652.61	10360685.11	19087320.68	10660480.01	9368459.49	9607297.72	7109292.49	8200208.38	7524234.02	8586544.14	8368450.47	11234239.75
F	8765219.23	9067197.42	12838688.04	7891935.83	7502789.73	7177401.25	7023921.95	7954763.40	7680014.10	8894761.59	8144128.15	12256549.92
G	8244918.22	8500172.46	7795032.61	7760435.27	7752597.92	7141860.02	7156320.58	8853766.33	7817551.41	9403452.91	8782945.06	15165325.15
H	7207780.95	7942803.07	7422084.80	7488280.77	7688855.54	7137662.87	6999448.09	8076839.00	8159643.00	9361332.30	8199209.42	8430920.40
I	8837685.73	8562164.63	9755938.63	8731910.56	9313400.82	7759111.67	7993082.18	9050895.04	8066398.07	10291381.02	8674997.68	7221355.29
J	8785577.94	8883291.05	7779900.33	7282424.34	8957751.67	7772513.71	7553857.77	8599267.45	8775029.06	9589028.76	10586381.86	8062656.69
K	8352873.19	7930990.32	7253856.89	6883814.56	7582294.98	7409486.18	7768016.73	8086799.87	8432508.94	9580271.05	8764008.07	10366976.97
L	9731696.73	11907298.16	8538324.98	8106549.46	7951645.75	7806133.16	8416767.54	9133474.81	9779080.71	10247752.01	9740528.19	10027440.91
M	9129642.65	9884108.27	9098575.59	7223375.65	7769101.05	7197943.40	9484477.40	8797712.15	9485765.51	10184272.82	9506921.28	9644503.15
N	9282709.26	9954282.89	7572697.51	7889420.93	7958996.93	7566060.42	8794322.45	9574259.53	8987158.66	10106698.28	10896048.84	10049126.65
O	8742757.61	9318472.84	7731120.98	7858303.08	9074581.91	8546261.95	8813490.31	9626537.87	8662054.40	9648429.62	10806496.99	8396395.92
P	9561572.18	9157383.41	7568264.74	7944235.39	8226851.23	8862354.60	7894648.59	8714601.36	8453983.96	9096875.43	9435413.08	7641595.52
Q	9429775.71	10115248.14	9968108.02	8859354.04	8258680.16	9969715.52	9755457.91	8785609.36	8397700.20	8960577.19	9859695.60	8053047.50
R	8789050.46	8989899.26	7872947.95	7824627.88	7520821.29	10373460.72	8537255.10	7984147.33	7399760.82	8379404.11	8880957.02	7515397.16
S	8926071.52	17731273.51	9426734.30	8656852.49	7248303.75	7644202.68	8467719.60	6948986.67	7307189.14	8931702.57	8259550.31	7420207.16
T	10504318.28	39572714.57	11264504.24	9377751.79	9156388.41	8483777.34	13369261.64	9114010.25	7498121.28	12024766.00	10299363.01	8333049.56
U	10175779.75	10810241.60	11895671.77	12233170.93	10722391.64	10287348.63	10489173.89	10103441.41	9442786.46	10865086.06	8730328.40	6966289.88
V	8226460.83	8711796.55	9386539.68	12042207.65	8601745.73	8146880.73	7880728.71	7927292.27	7888726.99	9123588.51	9705550.21	7392680.21
W	8613506.36	9385170.74	8943451.31	8581611.36	9284896.19	7651472.37	7653635.32	10370324.74	8577466.82	9645862.68	10334409.77	8103955.02
X	8926441.25	9962542.90	10107234.84	10162005.13	10699438.33	8553887.43	8309156.96	9441911.07	10098375.76	13085567.15	10202852.99	9791344.74
