gameweek,team,matches_played,rank,points,goals_for,goals_against,goal_difference,yellow_cards,red_cards,second_yellow_cards,fairplay
1,Osasuna,1,1,3,2,1,1,5.0,0.0,0.0,5.0
1,Real_Madrid,1,2,3,2,1,1,1.0,0.0,0.0,1.0
1,Real_Sociedad,1,3,3,1,0,1,2.0,0.0,0.0,2.0
1,Valencia,1,4,3,1,0,1,2.0,1.0,0.0,5.0
1,Atletico_Madrid,1,5,3,3,0,3,1.0,0.0,0.0,1.0
1,Real_Betis,1,6,3,3,0,3,3.0,0.0,0.0,3.0
1,Villarreal,1,7,3,3,0,3,0.0,0.0,0.0,0.0
1,Athletic_Club,1,8,1,0,0,0,0.0,0.0,0.0,0.0
1,Barcelona,1,9,1,0,0,0,3.0,1.0,1.0,4.0
1,Celta_Vigo,1,10,1,2,2,0,5.0,0.0,0.0,5.0
1,Espanyol,1,11,1,2,2,0,2.0,0.0,0.0,2.0
1,Mallorca,1,12,1,0,0,0,6.0,0.0,0.0,6.0
1,Rayo_Vallecano,1,13,1,0,0,0,6.0,0.0,0.0,6.0
1,Elche,1,14,0,0,3,-3,6.0,1.0,0.0,9.0
1,Getafe,1,15,0,0,3,-3,2.0,0.0,0.0,2.0
1,Valladolid,1,16,0,0,3,-3,1.0,0.0,0.0,1.0
1,Almeria,1,17,0,1,2,-1,3.0,0.0,0.0,3.0
1,Cadiz,1,18,0,0,1,-1,4.0,0.0,0.0,4.0
1,Girona,1,19,0,0,1,-1,3.0,0.0,0.0,3.0
1,Sevilla,1,20,0,1,2,-1,3.0,0.0,0.0,3.0
2,Osasuna,2,1,6,4,1,3,7.0,0.0,0.0,7.0
2,Real_Betis,2,2,6,5,1,4,11.0,0.0,0.0,11.0
2,Real_Madrid,2,3,6,6,2,4,3.0,0.0,0.0,3.0
2,Villarreal,2,4,6,5,0,5,3.0,0.0,0.0,3.0
2,Athletic_Club,2,5,4,1,0,1,5.0,0.0,0.0,5.0
2,Rayo_Vallecano,2,6,4,2,0,2,11.0,1.0,1.0,12.0
2,Barcelona,2,7,4,4,1,3,4.0,1.0,1.0,5.0
2,Real_Sociedad,2,8,3,2,4,-2,4.0,0.0,0.0,4.0
2,Valencia,2,9,3,1,1,0,4.0,1.0,0.0,7.0
2,Atletico_Madrid,2,10,3,3,2,1,3.0,1.0,0.0,6.0
2,Girona,2,11,3,3,2,1,5.0,0.0,0.0,5.0
2,Celta_Vigo,2,12,1,3,6,-3,7.0,0.0,0.0,7.0
2,Elche,2,13,1,1,4,-3,7.0,1.0,0.0,10.0
2,Valladolid,2,14,1,1,4,-3,3.0,1.0,0.0,6.0
2,Espanyol,2,15,1,2,4,-2,4.0,1.0,0.0,7.0
2,Almeria,2,16,1,2,3,-1,7.0,0.0,0.0,7.0
2,Mallorca,2,17,1,1,2,-1,13.0,0.0,0.0,13.0
2,Sevilla,2,18,1,2,3,-1,6.0,1.0,0.0,9.0
2,Getafe,2,19,0,1,6,-5,8.0,1.0,0.0,11.0
2,Cadiz,2,20,0,0,3,-3,9.0,1.0,1.0,10.0
3,Real_Betis,3,1,9,6,1,5,11.0,1.0,0.0,14.0
3,Real_Madrid,3,2,9,9,3,6,3.0,0.0,0.0,3.0
3,Athletic_Club,3,3,7,5,0,5,6.0,0.0,0.0,6.0
3,Villarreal,3,4,7,5,0,5,8.0,0.0,0.0,8.0
3,Barcelona,3,5,7,8,1,7,4.0,1.0,1.0,5.0
3,Real_Sociedad,3,6,6,3,4,-1,7.0,0.0,0.0,7.0
3,Atletico_Madrid,3,7,6,4,2,2,6.0,1.0,0.0,9.0
3,Osasuna,3,8,6,4,2,2,10.0,0.0,0.0,10.0
3,Celta_Vigo,3,9,4,4,6,-2,8.0,0.0,0.0,8.0
3,Almeria,3,10,4,4,4,0,12.0,0.0,0.0,12.0
3,Rayo_Vallecano,3,11,4,2,2,0,12.0,1.0,1.0,13.0
3,Mallorca,3,12,4,3,2,1,16.0,0.0,0.0,16.0
3,Valencia,3,13,3,1,2,-1,8.0,1.0,0.0,11.0
3,Girona,3,14,3,3,3,0,7.0,0.0,0.0,7.0
3,Valladolid,3,15,1,1,8,-7,6.0,1.0,0.0,9.0
3,Getafe,3,16,1,1,6,-5,9.0,1.0,0.0,12.0
3,Elche,3,17,1,1,5,-4,10.0,1.0,0.0,13.0
3,Espanyol,3,18,1,3,7,-4,4.0,2.0,0.0,10.0
3,Sevilla,3,19,1,3,5,-2,14.0,1.0,0.0,17.0
3,Cadiz,3,20,0,0,7,-7,11.0,1.0,1.0,12.0
4,Real_Madrid,4,1,12,11,4,7,3.0,0.0,0.0,3.0
4,Villarreal,4,2,10,9,0,9,9.0,0.0,0.0,9.0
4,Barcelona,4,3,10,11,1,10,8.0,1.0,1.0,9.0
4,Osasuna,4,4,9,6,3,3,12.0,0.0,0.0,12.0
4,Real_Betis,4,5,9,7,3,4,12.0,1.0,0.0,15.0
4,Real_Sociedad,4,6,7,4,5,-1,12.0,0.0,0.0,12.0
4,Celta_Vigo,4,7,7,7,6,1,9.0,0.0,0.0,9.0
4,Atletico_Madrid,4,8,7,5,3,2,10.0,1.0,0.0,13.0
4,Athletic_Club,4,9,7,5,1,4,9.0,0.0,0.0,9.0
4,Valencia,4,10,6,6,3,3,11.0,2.0,1.0,15.0
4,Mallorca,4,11,5,4,3,1,20.0,0.0,0.0,20.0
4,Valladolid,4,12,4,2,8,-6,7.0,1.0,0.0,10.0
4,Espanyol,4,13,4,4,7,-3,6.0,2.0,0.0,12.0
4,Almeria,4,14,4,4,5,-1,18.0,0.0,0.0,18.0
4,Rayo_Vallecano,4,15,4,3,4,-1,14.0,1.0,1.0,15.0
4,Girona,4,16,4,4,4,0,9.0,0.0,0.0,9.0
4,Getafe,4,17,1,2,11,-9,15.0,2.0,1.0,19.0
4,Elche,4,18,1,1,9,-8,13.0,1.0,0.0,16.0
4,Sevilla,4,19,1,3,8,-5,16.0,1.0,0.0,19.0
4,Cadiz,4,20,0,0,10,-10,13.0,1.0,1.0,14.0
5,Real_Madrid,5,1,15,15,5,10,6.0,0.0,0.0,6.0
5,Barcelona,5,2,13,15,1,14,10.0,1.0,1.0,11.0
5,Osasuna,5,3,12,7,3,4,14.0,0.0,0.0,14.0
5,Real_Betis,5,4,12,8,3,5,13.0,1.0,0.0,16.0
5,Atletico_Madrid,5,5,10,9,4,5,12.0,1.0,0.0,15.0
5,Athletic_Club,5,6,10,9,2,7,9.0,0.0,0.0,9.0
5,Villarreal,5,7,10,9,1,8,10.0,0.0,0.0,10.0
5,Celta_Vigo,5,8,7,8,10,-2,12.0,0.0,0.0,12.0
5,Real_Sociedad,5,9,7,5,7,-2,13.0,0.0,0.0,13.0
5,Rayo_Vallecano,5,10,7,5,5,0,19.0,1.0,1.0,20.0
5,Girona,5,11,7,6,5,1,9.0,0.0,0.0,9.0
5,Valencia,5,12,6,7,5,2,13.0,2.0,1.0,17.0
5,Mallorca,5,13,5,5,7,-2,25.0,0.0,0.0,25.0
5,Getafe,5,14,4,4,12,-8,19.0,2.0,1.0,23.0
5,Valladolid,5,15,4,3,10,-7,9.0,1.0,0.0,12.0
5,Espanyol,5,16,4,6,10,-4,10.0,2.0,0.0,16.0
5,Sevilla,5,17,4,6,10,-4,21.0,2.0,1.0,25.0
5,Almeria,5,18,4,4,6,-2,18.0,0.0,0.0,18.0
5,Elche,5,19,1,2,13,-11,16.0,1.0,0.0,19.0
5,Cadiz,5,20,0,0,14,-14,14.0,1.0,1.0,15.0
6,Real_Madrid,6,1,18,17,6,11,8.0,0.0,0.0,8.0
6,Barcelona,6,2,16,18,1,17,12.0,1.0,1.0,13.0
6,Real_Betis,6,3,15,10,4,6,13.0,1.0,0.0,16.0
6,Athletic_Club,6,4,13,12,4,8,10.0,0.0,0.0,10.0
6,Osasuna,6,5,12,7,5,2,21.0,1.0,0.0,24.0
6,Villarreal,6,6,11,10,2,8,11.0,0.0,0.0,11.0
6,Real_Sociedad,6,7,10,7,8,-1,16.0,0.0,0.0,16.0
6,Atletico_Madrid,6,8,10,10,6,4,16.0,2.0,1.0,20.0
6,Valencia,6,9,9,10,5,5,16.0,2.0,1.0,20.0
6,Mallorca,6,10,8,6,7,-1,28.0,0.0,0.0,28.0
6,Getafe,6,11,7,6,12,-6,22.0,3.0,2.0,27.0
6,Celta_Vigo,6,12,7,8,13,-5,14.0,1.0,0.0,17.0
6,Rayo_Vallecano,6,13,7,7,8,-1,21.0,1.0,1.0,22.0
6,Girona,6,14,7,7,7,0,12.0,0.0,0.0,12.0
6,Sevilla,6,15,5,7,11,-4,26.0,2.0,1.0,30.0
6,Valladolid,6,16,4,3,11,-8,10.0,1.0,0.0,13.0
6,Espanyol,6,17,4,7,12,-5,10.0,2.0,0.0,16.0
6,Almeria,6,18,4,4,7,-3,24.0,0.0,0.0,24.0
6,Cadiz,6,19,3,1,14,-13,18.0,1.0,1.0,19.0
6,Elche,6,20,1,2,16,-14,18.0,2.0,0.0,24.0
7,Real_Madrid,7,1,19,18,7,11,9.0,0.0,0.0,9.0
7,Barcelona,7,2,19,19,1,18,16.0,1.0,1.0,17.0
7,Athletic_Club,7,3,16,16,4,12,11.0,0.0,0.0,11.0
