category_chi,book_list_chi,nbooks
摩西五經,創 出 利 民 申,5
舊約歷史書,書 士 得 撒上 撒下 王上 王下 代上 代下 拉 尼 斯,12
詩歌智慧書,伯 詩 箴 傳 歌,5
大先知書,賽 耶 哀 結 但,5
小先知書,何 珥 摩 俄 拿 彌 鴻 哈 番 該 亞 瑪,12
福音書,太 可 路 約,4
新約歷史書,徒,1
保羅書信,羅 林前 林後 加 弗 腓 西 帖前 帖後 提前 提後 多 門,13
普通書信,來 雅 彼前 彼後 約一 約二 約三 猶,8
啟示文學,啟,1
