book_s,book_l,book_chi,book_chi_l,categories
Gen,Genesis,創,創世記,"[ot, tor]"
Exo,Exodus,出,出埃及記,"[ot, tor]"
Lev,Leviticus,利,利未記,"[ot, tor]"
Num,Numbers,民,民數記,"[ot, tor]"
Deu,Deuteronomy,申,申命記,"[ot, tor]"
Jos,Joshua,書,約書亞記,"[ot, oth]"
Jug,Judges,士,士師記,"[ot, oth]"
Rut,Ruth,得,路得記,"[ot, oth]"
1Sa,1 Samuel,撒上,撒母耳記上,"[ot, oth]"
2Sa,2 Samuel,撒下,撒母耳記下,"[ot, oth]"
1Ki,1 Kings,王上,列王紀上,"[ot, oth]"
2Ki,2 Kings,王下,列王紀下,"[ot, oth]"
1Ch,1 Chronicles,代上,歷代志上,"[ot, oth]"
2Ch,2 Chronicles,代下,歷代志下,"[ot, oth]"
Ezr,Ezra,拉,以斯拉記,"[ot, oth]"
Neh,Nehemiah,尼,尼希米記,"[ot, oth]"
Est,Esther,斯,以斯帖記,"[ot, oth]"
Job,Job,伯,約伯記,"[ot, ket]"
Psm,Psalms,詩,詩篇,"[ot, ket]"
Pro,Proverbs,箴,箴言,"[ot, ket]"
Ecc,Ecclesiastes,傳,傳道書,"[ot, ket]"
Son,Song of Solomon,歌,雅歌,"[ot, ket]"
Isa,Isaiah,賽,以賽亞書,"[ot, map]"
Jer,Jeremiah,耶,耶利米書,"[ot, map]"
Lam,Lamentations,哀,耶利米哀歌,"[ot, map]"
Eze,Ezekiel,結,以西結書,"[ot, map]"
Dan,Daniel,但,但以理書,"[ot, map]"
Hos,Hosea,何,何西阿書,"[ot, mip]"
Joe,Joel,珥,約珥書,"[ot, mip]"
Amo,Amos,摩,阿摩司書,"[ot, mip]"
Oba,Obadiah,俄,俄巴底亞書,"[ot, mip]"
Jon,Jonah,拿,約拿書,"[ot, mip]"
Mic,Micah,彌,彌迦書,"[ot, mip]"
Nah,Nahum,鴻,那鴻書,"[ot, mip]"
Hab,Habakkuk,哈,哈巴谷書,"[ot, mip]"
Zep,Zephaniah,番,西番雅書,"[ot, mip]"
Hag,Haggai,該,哈該書,"[ot, mip]"
Zec,Zechariah,亞,撒迦利亞書,"[ot, mip]"
Mal,Malachi,瑪,瑪拉基書,"[ot, mip]"
Mat,Matthew,太,馬太福音,"[nt, gos]"
Mak,Mark,可,馬可福音,"[nt, gos]"
Luk,Luke,路,路加福音,"[nt, gos]"
Jhn,John,約,約翰福音,"[nt, gos]"
Act,Acts,徒,使徒行傳,"[nt, nth]"
Rom,Romans,羅,羅馬書,"[nt, pau]"
1Co,1 Corinthians,林前,哥林多前書,"[nt, pau]"
2Co,2 Corinthians,林後,哥林多後書,"[nt, pau]"
Gal,Galatians,加,加拉太書,"[nt, pau]"
Eph,Ephesians,弗,以弗所書,"[nt, pau]"
Phl,Philippians,腓,腓立比書,"[nt, pau]"
Col,Colossians,西,歌羅西書,"[nt, pau]"
1Ts,1 Thessalonians,帖前,帖撒羅尼迦前書,"[nt, pau]"
2Ts,2 Thessalonians,帖後,帖撒羅尼迦後書,"[nt, pau]"
1Ti,1 Timothy,提前,提摩太前書,"[nt, pau]"
2Ti,2 Timothy,提後,提摩太後書,"[nt, pau]"
Tit,Titus,多,提多書,"[nt, pau]"
Phm,Philemon,門,腓利門書,"[nt, pau]"
Heb,Hebrews,來,希伯來書,"[nt, epi]"
Jas,James,雅,雅各書,"[nt, epi]"
1Pe,1 Peter,彼前,彼得前書,"[nt, epi]"
2Pe,2 Peter,彼後,彼得後書,"[nt, epi]"
1Jn,1 John,約一,約翰壹書,"[nt, epi]"
2Jn,2 John,約二,約翰貳書,"[nt, epi]"
3Jn,3 John,約三,約翰參書,"[nt, epi]"
Jud,Jude,猶,猶大書,"[nt, epi]"
Rev,Revelation,啟,啟示錄,"[nt, apo]"
