category,cat,book_list,nbooks
Torah,tor,Gen Exo Lev Num Deu,5
OT History,oth,Jos Jug Rut 1Sa 2Sa 1Ki 2Ki 1Ch 2Ch Ezr Neh Est,12
Ketuvim,ket,Job Psm Pro Ecc Son,5
Major Prophets,map,Isa Jer Lam Eze Dan,5
Minor Prophets,mip,Hos Joe Amo Oba Jon Mic Nah Hab Zep Hag Zec Mal,12
Gospel,gos,Mat Mak Luk Jhn,4
NT History,nth,Act,1
Pauline Epistles,pau,Rom 1Co 2Co Gal Eph Phl Col 1Ts 2Ts 1Ti 2Ti Tit Phm,13
General Epistles,epi,Heb Jas 1Pe 2Pe 1Jn 2Jn 3Jn Jud,8
Apocalypse,apo,Rev,1
